method,no_params,param_ratio,em,f1,bleu
Bottleneck adapter," 25,276,416 ",3.1761,80.7339,90.8172,84.6650
Prefix-tuning," 1,228,800 ",0.1567,78.8991,90.9418,86.4637
IA3," 282,624 ",0.0361,82.5688,92.9931,89.5655
Bottleneck on top of IA3," 12,687,360 ",1.5942,76.1468,88.6276,82.4521
LoRA," 7,077,888 ",0.8956,75.2294,88.7444,85.8794
Bottleneck + IA3," 25,559,040 ",3.1605,72.4771,87.7517,84.0084
P-tuning," 8,455,168 ",1.0681,64.2202,83.9594,70.8252
Prompt-tuning," 16,384 ",0.0021,55.0459,78.6539,61.2187
Bottleneck + prefix," 89,968,128 ",10.3042,0.9174,5.7771,0.0000
1 shot prompt,,,58.7156,82.3401,73.1916
0 shot prompt,,,55.9633,78.5927,62.9730